铁	煤
张家岗上共风雨难忘海燕身影	黄鹤楼边隔云天哀闻长江涛声
是我友是我师手足情深长安日	重传统重生活炎黄脉远大汉魂
一国两制三通四海五湖齐欢唱	五讲四美三爱两手一心尽文明
一国两制三通四海五湖齐欢唱	个体十行百业千家万户都发财
一国两制三通四海五湖齐欢唱	天时地利人和日新月异尽改观
对联故事对对联联接四方联友	剪纸姑娘剪剪纸纸糊千户纸窗
对联故事对对联联接四方联友	唱词艺人唱唱词词填百首词牌
对联故事对对联联接四方联友	图画先生画画图图写万种图形
春风春雨春雷春扉半启骄龙蛰	月影月华月魄月殿方关玉兔眠
丁卯本相连何必丁是丁卯是卯	鬼人原互异怎能鬼不鬼人不人
芳草远山邀君作画咚咚烟滚滚	清风明月伴我吟诗猎猎马萧萧
农家子热心肠解囊修筑致富路	众名师高手笔泼墨赞扬恋乡人
神为德其盛乎呼吸回天登彼岸	臣何力之有也忠诚若水证平生
恰当薄海同风世上疴瘝都入耳	幸为苍生请命个中消息总关心
圣迹显千秋螺港鯑山灵神坤兑	神功通一水鲲身鹿耳本系福台
视远为明知普渡众生全凭慧眼	恩溺由已愿永清四海上慰婆心
恰当薄海同风世上疴瘝都入听	幸有苍生请命箇中消息总关心
赤嵌壮璇宫奉英灵为海外砥柱	皇朝隆祀典钦慈济本湄岛渊源
银海不扬波万众稳渡星槎远迩	同民皆乐业举世遍歌母德渊源
缘何邀月问天想是平生知己少	只可把酒看花懒开醉眼看人忙
大江东去浪淘尽千古风流人物	白日西沉光幻出万般璀璨云霞
大江东去浪淘尽千古风流人物	古道南来鞭驱过几多迁客骚人
大江东去浪淘尽千古风流人物	幽恨中来酒消却几何倜傥英豪
古今并入含茹万象沧溟探大本	礼乐仰承基绪三江天汉导洪澜
同德效歧黄丸散祛灾名播京国	仁心寄本草膏丹益寿术继神农
济济多才驱百家头巾斯文扫地	堂堂大府挂千条脚布臭气熏天
张良借箸前筹恨不食食其之肉	陈平刻木为女果能冒冒顿之围
北往南来看红日西沉谁为东道	冬寒夏热望中庭春水我打秋风
明镜高悬干部离任审计分泾渭	苍天在上新官就职承诺解疑难
空谈资社误认肿脸黄脸为健美	清点老鼠晰分白猫黑猫立真标
深通脉理治病救人退休情愈炽	妙悟岐黄起死回生垂老业犹精
神州同庆寿喜天喜地喜心欢喜	华夏中秋月圆国圆家圆人团圆
拿士的坐的士走入士多吃多士	取茶壶冲壶茶斟落茶杯饮杯茶
非必杀身成仁问我辈谁会节义	漫说通经致用笑书生空谈春秋
爽气自西来放眼得十三湾烟景	中原劳北望从头溯九万里鹏程
文开白话先河自有勋劳垂学史	政似青苗一派终怜凭藉误英雄
碧血化长虹清川江浩浩流千古	赤胆吟高歌八号桥巍巍塑英姿
好领导好政策好形势好上加好	富国家富集体富社员富了又富
湖尚称明问燕子龙孙不堪回首	公真是铁惟景忠方烈差许同心
黄头发蓝眼睛红嘴白牙说相声	西洋人东方话南腔北调学对联
立政待英才慎乃倏司知人则哲	兴贤共天位勖哉多士观国之光
六十年雨露春风哺育鹰鹘横厉	三千位高徒学子凭依北斗泰山
此是东坡旧居应有文光联北斗	恰好西湖对峙长留诗境在南州
不必定有梅花聊以志将军姓氏	从此可通粤海愿无忘宰相风流
化三清立三皈演三纲历代纲领	掌五行传五戒治五常古今长存
石破天惊挥笔写最新最美文字	任重道远立志做又红又专人材
洁心灵整仪态心灵同仪态并美	修品德精学业品德与学业兼优
风华正茂大干四化争当红旗手	飒爽英姿建设祖国永做排头兵
越千山过万水浩荡东风吹大地	干四化翻三番英雄人物数今朝
将众山移开东海在前昆仑在后	让一阁独立清风有主明月有家
渡苦海以慈航待他年神存莲界	断欢情于慧剑看此日面似桃花
投边益显宏文全蜀才华推第一	佐父同争大礼有明忠谔叹无双
铁板铜琵继东坡高唱大江东去	美芹悲黍冀南宋莫随鸿雁南飞
眼珠子鼻孔子孔子反在珠子下	眉先生须后生后生却比先生长
五千年中华民族文明导源于此	十亿众社会主义事业与日俱新
祖国五十年华诞迎来空前盛况	神州十二亿同胞唱响世纪颂歌
薄稼圃而不为宜善会先贤之意	敬鬼神而仍远当恪尊乃祖所闻
八十君王处处十八公道旁介寿	九重天子年年重九节塞上称觞
还君白璧无瑕华滚初回新气象	洗汝红尘万斛威仪重整汉衣冠
为民主为和平为大众成仁取义	反独裁反内战反特务虽死犹生
五月红花是前辈英雄热血播种	九州大厦望工农兄弟同心筑成
冰冻兵车兵车砸冰冰碎兵车动	龙卧隆中隆中藏龙龙自隆中飞
近仁近智近勇 / 近霸近官近贼	立功立德立言 / 立奸立恶立邪
漫云有画有诗即放胆如何落笔	借问是月是海且忘机试一凭栏
睡至二三更时凡功名都成幻境	想到一百年后无少长俱是古人
想大业兴大业办学高擎四化业	唱文明歌文明重教力争双文明
使非公等牺牲国梦未知何时醒	尚有吾侪奋斗民权定要异时伸
剩得两撇胡须此后唔知点算好	养成一身贵骨从今改过未为迟
重重喜事重重喜喜年年获丰收	盈盈笑语盈盈笑笑频频传报捷
公昔登临想诗境满怀酒杯在手	我来依旧见青山对面明月当头
南通州北通州南北通州通南北	东当铺西当铺东西当铺当东西
梵香馥郁吉祥凝象教西传净业	宝相庄严华月印雁堂北护黄图
东极垂慈仙室乘晨而超登紫府	南丹赦罪净魄受炼而径上朱霞
妖道恶僧三令牌击退风云雷电	贪官污吏九叩首拜出日月星辰
向以清白传家粉骨碎身完素愿	纯用精神济世赤符丹箓总虚名
胜地毓英贤一代文章千秋功业	平湖擅风月半城桂树百亩荷花
一生战斗刚毅不屈是青年先锋	满腔热血慈爱至诚为大众导师
四面虚亭看万壑交流千岩竞秀	二分春到正小桃开后双燕来时
修道隐名山脱俗而来何思何虑	真诚侍法界成佛以后无古无今
陷胸断脰是男儿死非其所痛矣	沐雨栉风先士卒事不得人惜哉
知杨太尉在堂忍把锦裘追往事	为马幼常流涕至今黄壤怆平生
山河气象果新奇到处莺歌燕舞	栋宇规模真壮丽满眼虎踞龙蟠
绿杨枝上鸟声声春到也春去也	青草池中蛙句句为公乎为私乎
兄让弟弟让兄父命天伦千古重	圣称贤贤称圣顽廉懦立百世师
雅有诸葛风定鞠躬尽瘁而死已	死守桂林郡能舍生取义以效忠
无贪心无私心心存清白真快乐	不寻事不怕事事留余地自逍遥
始余起兵于濠上先崇捧日之心	逮兹定鼎于江南遂作擎天之柱
画栏日暮起东风棋声吹下人世	大地春归如断梗江流淘尽英雄
福楼拜曹雪琴肉灵一致鲁男子	傅彩云李莼客文采斐然孽海花
糊糊涂涂将佛脚抱来求为父母	明明白白把石头拿去说是儿孙
超然物外求真我[陋檐听雨出句]	张也街头奏吉他[逸雪道人对句]
唱采茶又唱采茶莺歌婉转非前调	酬神愿再酬神愿风景依稀似去年
双溪桥桥下生荞风吹荞动桥不动	七甲坪坪上长萍水漫萍流坪不流
婆婆莫搽摩登红谨防特务打主意	公公要留络腮胡免得保长拉壮丁
酿甘醇鸭溪窖内怀杜康雅俗共赏	留倩影富士山前用柯达情景交融
一抹微云一缕轻纱更显山色妩媚	三月细雨三分薄雾倍添春江妖娆
红烛泪湿无语案梧枝隙透冷月寒	白兰香醉有心人荷叶轻揽清露重
秋至葫芦岛蟹正肥菊正香人正俏	春来杨柳街鱼最鲜花最秀妹最娇
拍马屁吹牛皮公仆本应当牛做马	批龙鳞入虎穴贤臣自能伏虎降龙
常读不辍赞诗人如醉如痴研古董	巧借亦夸思战友合情合理就新词
甘当月姥愿天下有情人终成眷属	争作师爷观网上爱国者尽显风流
苦荼甘若荠萝卜软如酥爽人喉吻	水藻绿于蓝山菰红似血快我情怀
欲寻燕岭此间来爽心人醉杏花雨	借问妫川何处觅举步香随杨柳风
商关国脉兴衰无惭义旅思明故地	会系民生苦乐共谱侨乡致富新篇
法缘广结自蒙地布金砖人天拥护	悲愿宏施何待花开石卵禅教重兴
十五传兰玉相承授砚三看入芸馆	六千里泥金甫报抚楹一笑返蓉城
囊张兜率贮乾坤内院补居一佛地	山现须弥悬日月上方长绕四王天
人爵贵天爵更贵解组学乌巢反哺	帝星升臣星先陨骑箕为龙驭前驱
日照纱窗莺蝶飞来映出芙蓉牡丹	雪落板桥鸡犬行过踏成竹叶梅花
无我无人无众生寿者皆以无为法	如露如电如梦幻泡影应作如是观
人称新郎新娘原本是旧相思一对	你吃喜糖喜酒能不有　风味几番
战事方酣忍看多士丧亡显其忠勇	吾侪尚在誓必长期抵抗还我河山
众闻者应当发愿与诸上善人俱会	大丈夫乃可学佛非王侯将相能为
布袋全空容甚物跏趺半座笑何人	处己何妨真面目待人总要大肚皮
民犹是也国犹是也民国何分南北	总而言之统而言之总统不是东西
门多桃李案少簿书别宦恐无此乐	前列生徒后盈丝竹今时复有其人
献策即还山文中子门墙有诸将相	投竿不忘世周尚父耄耋为帝王师
使当时尽用其谋知成效必不止此	设晚节无以自见则士论又复如何
高阁高悬低阁低悬僧在画中看画	远峰远刊近峰近刊人来山上观山
鲁肃遣子问路（打一日常用语）	阳明笑启东窗（打一日常用语）
汝肯能让乎会长任维持富贵由你	君真无节矣降臣供走使笑骂由人
黑铁落红炉打短钉钉长船游南北	弯竹剖直篾扎圆箍箍扁桶装东西
尹文端厚泽深仁重见江乡说遗爱	陈恪勤精心果力方知楚产信多才
反己有真修须留神检到心身界上	加工无别法务着力打开义利关头
我佛见一切善男善女人皆当欢喜	此像具七宝大乘小乘相何等庄严
四十年生有自来身到蓬瀛天遽召	三千里没而犹视心伤桑梓母何依
一杵威神可畏人无邪念自能降魔	三洲感应难思汝有志修我必护法
史春元整席宴柴行且救燃眉之急	蒋孝廉演剧邀屠户遂成刎颈之交
勉力为之正人心厚风俗实唯根本	文治彰矣拔真才加训迪勿懈功夫
东楼三西楼四更鼓朦胧朦胧更鼓	南斗六北斗七诸星灿烂灿烂诸星
水仙子持碧玉箫风前吹也声声慢	虞美人穿红锈鞋月下引来步步娇
江山多娇十二亿炎黄子孙织锦绣	祖国昌盛二十度改革春风著华章
看祖国莺歌燕舞改革春风兴百业	望禹甸水笑山欢开放浪潮耀千秋
斯文不幸明伦堂上除来南海先生	学校无光教授馆中搬出西厢杂剧
胜地如图画是贤守遗区雄藩旧馆	灵山讬文字有叔齐作记孟简题名
世界何故称极乐只是众苦不能侵	凡夫所以受生死皆由罪障作业因
焰火耀长空色彩斑斓欢度除夕夜	金龙腾大地人声鼎沸喜迎吉祥年
青春缔姻缘爱绵绵不必山盟海誓	集体行婚礼情切切会当地久天长
风风雨雨暖暖寒寒处处寻寻觅觅	莺莺燕燕花花叶叶卿卿暮暮朝朝
畏简书并畏人言常以无欺盟夙夜	正文风先正士习唯将有耻勖胶庠
呕心传道望英骏追风啸月驰千里	敬业育人期茂林拔地参天绿万山
墙上挂珠帘你说是王家帘朱家帘	半夜生孩儿我管他子时乎亥时乎
大江东去平楚南来一带江山如画	高柳垂阴老鱼吹浪依稀风韵生秋
三清三境放三洞之祥光三阳开泰	五录五老降五方之真气五谷丰登
看诸君脑满肠肥此日共餐常住饭	想一样钟鸣鼎食前身都是宰官身
虞美人穿红绣鞋月下行来步步娇	水仙子持碧玉箫风前吹出声声慢
小翠花小翠喜一文一武一京一汉	马连良马连昆同乡同姓同教同科
宣扬回归自然世间应是青天碧野	制止污染环境生态还须走兽飞禽
玉兔欢奔金乌飞飞向春光明媚处	雄狮抖擞巨龙舞舞来华夏太平年
乘十六大东风千帆竟渡春潮迭起	拓新时期伟业万马奔腾阔步前进
二十三年征赛年年咏唱春天故事	百千万副佳联副副讴歌时代光辉
凤舞龙飞喜看大好河山生机无限	云蒸霞蔚遥望骨肉同胞团聚有期
童子数椽一二三四五六七八九十	先生讲命甲乙丙丁戊己庚辛壬癸
为名忙为利忙忙里偷闲喝杯茶去	劳心苦劳力苦苦中作乐拿壶酒来
日移杉影出三步喜迎天下顺达客	风吹竹笛动九天欢奏世间昌盛歌
刚唱罢一曲农歌好趁夕阳觅归路	岂欲效三闾故事错把洋湖作汩罗
察天文观地理破洪蒙万世尊人祖	通神德类物情开卦象百王继法源
真豪杰无私无畏敢锯孽龙头上角	是英雄有胆有识能拔猛虎口中牙
二月春分八月秋分昼夜不长不短	三年一闰五年再闰阴阳无错无差
让千年童话成真农民笑饮自来水	向百代文盲告别村女喜当大学生
巨龙迎盛世狂欢爆竹声声辞旧岁	喜鹊羡故园起舞梅花朵朵报新春
弘仁厉法富税济贫重修真诚社会	种树治沙抑污调水再造秀美山川
大哉夫子之功百世权衡六经羽翼	远矣斯文之统周程私淑孔孟闻知
此地笙歌恰当韦曲城南去天尺五	吾侪觞咏犹是越王台畔明月三分
保合太和道综乾始坤生两仪并久	诞膺多福功被民熙物阜四海皆春
聚曲星以示吉祥五色云霞千种趣	依文庙而添清雅一弯风月四时情
苦我今朝只余薄命糟糠犹归天上	劝卿来世未遇封候夫婿莫到人间
停杯问明月看四面秋山光环塔外	引袖拂清风送一帆春水绿到湖心
梅发早知春喜古道生辉新居纳福	峰高先得月看青龙吐玉碧水浮金
十六大同迈小康华夏增辉迎兆岁	亿万人共奔四化乾坤焕彩贺羊年
肚肠宽肥容世界，大！大！大！	心肺冷静笑人生，哈！哈！哈！
岁序更新蛇归洞府畅述辉煌成就	春风初度马跃神州喜奔锦绣前程
有子万事足我子作尚书足而又足	七十古来稀我年近大耋稀而又稀
竞舞龙蛇喜看九州开放天翻地覆	争跨骐骥欢呼十载改革国富民殷
人凭服饰经红妆素裹便神采奕奕	体须衣装苦宽宜窄适即风度翩翩
十载许勾留与西湖有缘用尝此水	千秋同俯仰惟青山不老如见古人
辞旧岁国共三联赤子丹忱争四化	入龙年江山一统巧手红心建九州
平生最乐山居长爱乐山山城如画	此地诚宜宾住来叩宜宾宾馆之门
粗菜淡饭好些茶这个福老夫享了	齐家治国平天下此等事儿曹为之
十二因缘大树产自玄根具眼堪晓	五千教典圆诠终临理窟罕遇知音
芙蓉浴水盈盈亭亭启口焉然妩媚	松柏洗心堂堂正正举步矫健雄姿
蔺相如司马相如名相如实不相如	魏无忌长孙无忌彼无忌此亦无忌
燕语莺啼花又香景物一年新节好	风和日丽人方泰诗怀万种早春多
仗我佛慈悲指示方悟得无我无人	做吾儒切实工夫巴结到而今而后
有情之乐吾之乐运同体之大悲愿	众生之苦吾之苦兴无缘之大悲心
一张报纸一杯茶事情嘛研究研究	几瓶名酒几条烟问题乎好说好说
虽忧去日蛇行本命东未成西未就	却喜今朝马腾它乡南也跑北也奔
淡黄柳缕缕弄柔来回紫燕织春色	清丽莺声声剪秀远近粉桃披晓光
举红旗旗开得胜万马千军创大业	乘骏马马到成功五湖四海涌春潮
是谁将眼孔放开看得穿大千世界	到此要脚跟站定才许入不二法门
悲夫悲夫帷幄失智囊军旅折良将	壮哉壮哉碧血贯长虹丹心照汗青
小住为佳小楼春暖得小住且小住	如何是好如君爱怜要如何便如何
纵读数千卷奇书无实行不为识字	要守六百年家法有善策还是耕田
劝诸君努力加餐每饭莫忘天下事	看先贤断齑划粥立身端正秀才时
门前生意好似夏月蚊虫队进队出	柜里铜钱要象冬天虱子越捉越多
元宵不见月点几盏灯为山河生色	惊蛰未闻雷击几声鼓为天地宣威
五原誓师赴宁往甘宣传三民主义	平凉守土筹粮运草供给十万大军
有志竟成喜今朝乘长风破万里浪	苦心不负乐明日攀高岭采千年芝
万里长城应为世界人类文化瑰宝	千年旧迹反映中华儿女智慧无穷
风清华表翔无鹤云护佳城关玉鱼	百丈松楸驯鹿土千秋佳节卧牛眠
到此日方辨妍媸更向鸿蒙开面目	过这关才算儿女还从祖父种根苗
碧水温柔鱼戏莲叶南鱼戏莲叶北	好风荡漾燕剪柳丝短燕剪柳丝长
两口寄安乐之窝妻太聪明夫太怪	四围接幽冥之地人何寥落鬼何多
海族馆珍奇耀目珊瑚珠贝呈异彩	百鸟居欢声愉耳莺风鸾凰竞歌喉
荔枝园匠心独运宋汉山河威海外	游乐场魅力无穷汴梁风物入城中
名园毓秀领两千年风骚嫣红姹紫	玉阙凝辉噙廿百载香露汪绿鹅黄
今科又抡元愿诸生莫存第二人想	每月来课士即此地可作试三场观
一阕荔支香听玉笛吹来偏传南海	双声杨柳曲问金尊把处忆否西湖
十七夕彩满蟾宫赓隔夜霓裳旧曲	廿五载班联鵷序萃当年蓉镜群仙
教人成民族英雄举世共钦贤母范	毕生为劳动妇女故乡永保好家风
如何是西来意五蕴皆空毫无芥蒂	此中得上乘法六根俱净大放光明
富贵贫贱总难称意知足即为称意	山水花竹无恒主人得闲便是主人
不福星真福星即此一言可为君寿	已五十再五十请至百岁再征余文
春秋堂上读春秋祝诸生春秋鼎盛	南北朝时分南北望祖国南北合衷
普恩普德普事功当其时谁能并普	贤家贤国贤天下今之日那个同贤
除夕月无光点数盏灯为新春增色	新春雷未动击一声鼓替天地扬威
想吾生竭力经营无非是之乎者也	问此去何等快乐不管他柴米油盐
南亩北畴我老汉时不时要去几次	上村下里尔乡民年对年才来一回
佐玄德破孟德而后南北三国分鼎	生阳都仕成都从此东西两地生辉
红烛高照辉辉煌煌照遍东西南北	绿帘低垂喜喜欢欢共度春夏秋冬
虽富贵不易其心虽贫贱不移其行	以通经学古为高以救时行道为贤
四十年拼搏奋进肝胆常以天地鉴	八百里奔走驰驱心胸总昭日月明
牡丹亭赏不够魏紫姚黄娇容三变	天香池赞不完墨魁豆绿一品朱衣
弹洞苍峦破神话陈粟挥师歼敌首	血凝险崮壮军威猛士擎旗铸丰功
遵守礼教无非是甘卖生女作小媳	莫出闺户却原来忍将骨肉换大洋
一帜冠童军玉树芝兰譬兹佳子弟	两楹垂祖训公卿将相起自好秀才
数百岁之桑弧过去五十再来五十	问大年于海屋春华八千秋实八千
宾客至上不愧上等民间友好使者	馆堂第一堪称一流国际服务水平
寰宇庆升平集四海英贤谈心会合	天涯若比邻共一堂茶水聚会因缘
占全湖绿水芙蕖胜国君臣棋一局	看终古雕梁玳瑁卢家庭院燕双栖
说什么盖世功名丞相空留遗像在	且消受一湖风月莫愁正是善愁人
江湖粗了我意归还从旧社得心印	崎岖好事人应笑尽教霜蘖发春妍
东西日月南北湖山俯仰中央宛在	坟典石渠图书天禄列陈左右咸宜
离一尺地即一尺天毋曰高高在上	尽几分心知几分性敢云脉脉相通
岳麓山山山出大小尖峰四维羅绕	汉阳口口口回上下卡道千里重关
動動千里重金锺行多重重重着力	纷纷八刀分米粉剖数分分分成丝
王大夫昆季筑墙一土蔽三人之体	潘先生父子沐发番水灌两牛之头
天生哲人合物质精神文明于一冶	手振木绎揭正心救民大义于千秋
碧波涟漪三万六千顷顷顷青未了	层峦叠嶂七十又二峰峰峰绿又生
傍连岭带长川西南诸峰林壑尤美	送夕阳迎素月上下一碧波澜不惊
具体而微居然峭壁悬崖平沙阔水	托根虽浅何妨虬枝铁干密叶繁花
兴旺发达文明待客生意沟通四海	繁荣昌盛礼貌经商财源融汇三江
先生是郑渔仲一流乃以贫而死乎	后世有杨子云复生心能读其书矣
为名忙为利忙忙里偷闲饮杯茶去	劳心苦劳力苦苦中寻乐拿壶酒来
黄河水清黄禾时几个黄鹤翔碧海	白鹿书院白露日一行白鹭上青天
五湖内一船四橹八人摇下九江来	万军中匹马单刀孤将破开千阵去
地居廉让之间二分流水三分农圃	学有经济者贵半部论语一部春秋
窗虚五月六月寒人在冰壶中酌酒	檐植三竿两竿竹客从图画里敲诗
密云不雨引三河灌玉田万年丰润	平谷移山填静海建乐亭百世兴隆
新月如弓残月如弓上弦弓下弦弓	朝霞似锦暮霞似锦东川锦西川锦
允矣斯文为古今中外君民立允极	大哉夫子合诗书易礼春秋集大成
无以为宝惟善以为宝则财恒足矣	义然后取人不厌其取又从而招之
六经皆载道之书莫鹜词章矜博览	两浙为人文所萃益从根底下功夫
粉墨登场真真假假均为移风易俗	宾朋入座看看听听确能心旷神怡
聚影画声光于咫尺牵来几多活剧	集忧愁哭笑在一时引出无限情思
择事择人摄入镜头宣传进步思想	或中或外尽收眼底增广国际见闻
相面者算命者打抽丰者各请免见	撑厅者铺堂者撞太岁者俱听访拿
三不朽曰立德立功立言偶曾尝试	一得闲便醉花醉诗醉酒聊共神游
嚼齿咬牙骂令尊之令正并非继母	磨拳擦掌打胞叔之胞兄不是伯爷
金水池边金线柳金线柳穿金鱼口	玉栏杆外玉簪花玉簪花插玉人头
垂杨还袅万丝金又恐被西风惊绿	断红尚有相思字试凭他流水寄情
采幽循七里山塘到此如游众香国	触景怀三边靖雪客中为赠一枝春
正逋仙清瘦黄昏对酒曾同凉月舞	入广平裁冰词笔画图新展远山齐
大梦悟禅机感丘墟红颜英雄白骨	寥梅叠香雪看湖山依旧楼阁更新
立壮志替万株幼苗灌输文化养料	树雄心为一代新人塑造美好心灵
十七年尔汝旧交追忆还从卯字号	廿余日驰驱大漠归来竟作丁令威
三十年力学不下山度量包罗天地	五百部著述曾诣阙精神贯彻古今
正过新年传来阵阵欢呼载歌载舞	清如明镜照得双双俪影如玉如珠
宫墙东鲁耸千寻此中须另有世界	门户三吴辟一径这里莫错过路头
圣朝吁俊首斯邦看志士弹冠而起	天府策名由此地喜英才发轫而来
临曲水赏仙境二重水之上水之下	倚中亭如小星三点亭又西亭又东
二猿断木深山中小猴子也敢对锯	一马陷足污泥内老畜生怎能出蹄
你本是七品县官革职原为唱捉放	此去有三堂会审问君可敢骂阎罗
东塔寺东坡亭东坡煮雪雪瑞年丰	西湖边西泠社西泠观书书奇画异
圣驾忽飞临望北斗横天南山倚殿	神恩难报答看东冲明月西寺斜阳
奉胡安定教条经师南面经生北面	仿陆平原故事阿兄东头阿弟西头
华屋杂茅芦于西子湖边别开胜境	停桡来把盏在刘伶庄畔应集酒仙
月圆人共圆看双影今宵清光并明	客满樽俱满羡须眉此日秋色平分
月圆人共圆看双影今宵清光并照	客满樽俱满羡齐眉此日秋色平分
了真空不为色声香味触法所转动	常念佛当从眼耳鼻舌身意下功夫
诵琼楼风雨之时南国早知公有子	承便殿共和明问北宋未以我为臣
小圃如弓竹林前一曲柳阴后一曲	浮生若梦登第五十年成婚六十年
七旬外翁固之死之为归生之为奇	半日静生不识此是何地我是何人
投起针来果能罗什译经寸金易化	吃了饭去不学弥勒大肚滴水难消
酿五百斛酒读三十车书于愿足矣	制千丈大裘营万间广厦何日能之
何处吊公坟看十里平山空余蔓草	到来怜我晚只二分明月曾照梅花
冷照西斜正极目空寒故国渺天北	大江东去问苍波无语流恨入秦淮
焚艾草饮雄黄清瘴防病别为邪崇	飞龙舟裹香粽奠忠招魂是效楷模
握一双拳打尽天下英雄谁敢还手	持三寸铁削平大清世界无不低头
切三关辨阴阳兴中伐贼师承仲景	谙百草定虚实拯弱扶强法效时珍
亲亲热热远接近迎使你来时满意	上上下下车随客便让人去得称心
榛莽一丸泥赖名士题碑英雄葬剑	梅花三百树有远山环抱高阁凭陵
思贤桥桥上思贤德高刺史名留世	琵琶亭亭下琵琶情多司马泪沾襟
泣残红谁分扫地春空十日九风雨	举大白为问旧时月色今夕是何年
呼酒上琴台把吴钩看了阑干拍遍	明朝又寒食正海棠开后燕子来时
老奸终古分尸鬼斧神斤劈开桧树	快事一时抚掌风欺雪虐压倒秦头
红娘子恨杀槟榔半夏无茴香消息	白头翁娶得蕲艾人参有续断姻缘
铁骨铮铮壮怀激烈志讴三江流水	丹心耿耿与国同仇魂击两岸青松
自尊自爱自重自强挑起时代重任	多才多艺多胆多识争做巾帼英雄
一肚子不合时宜问尊者如何消纳	满面孔无非和气请众生各去思量
演八阵以成图贤相千古名伶千古	并长素而称圣南海一人四川一人
台榭喜初成看寒碧千层远青一角	冠裳传胜事听梨园旧曲菊部新声
泰伯来而梅里片墟开东南之草昧	先生出而泾皋蕞土萃宇宙之文明
仿佛孤山正宜月下来游雪中清赏	苍茫巨泽且欲乘风破浪斫地狂歌
竹边松底只赠梅花共结岁寒三益	薜志苔荒摩挲峭石恍然月白千峰
群彦集东南有温李诗才荃熙绘事	高楼战西北对石梅拜月辛岭晴云
白玉犹有暇求人十全十美何处觅	青春岂无限择偶千挑千拣几时休
乌龟方姓乌龟寿比日月年高德亮	老鼠亦称老鼠姑兆宝贵国色天香
莲香入座清笔底当插成这般花样	湖水连天静眼前可悟到斯道源头
争三好勤奋学习全面发展德智体	建四化钻研科技努力攀登高精尖
人世间法无定法然后知非法法也	天下事了犹未了何妨以不了了之
鸡唱于绝响之时不待三声谁有觉	花开在共见之处岂容一个独开颜
一心履薄临深畏天之鉴畏神之格	两眼沐日浴月由静而明由敬而强
陂塘荷叶田田鱼戏荷叶南荷叶北	晴雨画桥处处人在画桥东画桥西
曾经亚运重申奥运华夏多交好运	文化古城绿色新城北京众志成城
证法华而来灵山追随多宝塔中佛	现色身以医陆弟愍念阎浮世上人
一蓑一笠一髯翁一丈长竿一寸钩	一山一水一明月一人独钓一海秋
五年前瘴海同袍艰危竟奠重溟浪	二千里长江如镜扫荡艰忌百战人
陂塘莲叶田田鱼戏莲叶南莲叶北	暗雨画桥处处人在画桥东画桥西
佛在心田须息息以善恶分明为念	神留脑海思事事皆因果报应所关
道不远人切忌认影迷头向外寻觅	心原是佛但向回光返照直下承当
五载赋栖迟看桑海婆娑南珠正媚	三山怀旧侣愿天风鼓荡北斗常依
帝国主义尚未灭亡雄心犹有遗恨	和平阵营已趋巩固众志必可成城
异代景前修想石榻摊书竹林怀友	新堂还旧观对半潭秋水一柱奇峰
愿听者听愿看者看听看自取两便	说好就好说歹就歹好歹只演三天
此地咫尺能进天懒问天但闻佛笑	近水亭间先得月要留月不许云飞
更高更快更强重在参加能赢固好	斗勇斗谋斗志放手拼搏虽负犹荣
一楼萃三楚精神云鹤俱空横笛在	二水汇百川支派古今无尽大江流
莺莺燕燕翠翠红红处处融融洽洽	雨雨风风花花草草年年暮暮朝朝
大启漳土永尊闽民但励忠勤二字	依旧云山维新庙貌缅怀功业千秋
古国五千年历史新篇章又谱新曲	神州九万里江山美图版再展美容
占全湖绿水芙渠胜国君臣棋一局	看终古雕梁玳瑁卢家庭院燕双棲
挹道叶天和乍瑞气腾来一冬尽暖	称觞临岁秒各哲人生后万物方春
气备四时与天地日月鬼神合其德	教垂万世继尧舜禹汤文武作之师
冷泉亭边掬冷泉泉冷亭冷人亦冷	寒山寺里访寒山山寒寺寒情未寒
沈水河边观沈水沈水神水神沈水	棋盘山上望棋盘棋盘奇盘奇棋盘
毁家兴学集美于一身树华侨旗帜	弃戎从画博爱为大众蔚艺术新风
如意结中结万事如意愿万世如意	平安道上道一声平安祝一生平安
拍马屁吹牛皮公仆本应当牛做马	讲人言弄鬼计恶魔必定搞鬼坑人
荷叶荷花似青凉伞盖佳人之粉面	瓠藤瓠子如黄麻绳系和尚之光头
嗅窗前寒梅数点且任我俯仰以嬉	攀月中仙桂一枝久让人婆娑而舞
潮落濯足潮生濯缨谢绝人间脂粉	月缺如梳月圆如镜居然天上妆台
请为诵郑风诗适子之馆授子之粲	不能忘鲁论语观其所由察其所安
荣名天下三百春秋迎尽九州雅士	宝藏古今万千书画领来一代风骚
半响间清谈丹室情符心■岁同庚	二三夜畅饮青城酒醉月明山如画
禅榻常闲看吴岛茶烟随落花风去	远帆无数坐盈盈酒水从罨画溪来
创特色社会主义丰功常随天地永	倡一国两制理论大业总齐日月辉
观乎亚欧美澳非无意识界无眼界	音之宫商角徵羽由知觉生由心生
一壑一丘此亦为贤公子汤沐之邑	视今视昔留以待老成人觞咏而归
登楼瞰故郡长桥近水遥山披画幅	凭栏听江流天籁风晨月夕吊诗仙
照见五蕴皆空说法度生竖穷三际	证极一乘实相寻声救苦横遍十方
羡高年精神矍铄花甲重添二十载	居上寿齿德俱尊松年永享八千秋
云长先死翼德又亡刘备安徒生哉	公台方殁文远遂降吕布白求恩也
志在春秋行在孝经此为鹄臣鹄子	虽有文事必有武备法我先圣先师
